PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P211349,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P211616,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P211625,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P211643,17.0,17.0,17.0,17.0,17.0,,,,,,,
P211901,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P211912,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P213011,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P213304,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,17.5,17.5,17.5
P213541,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P215938,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P216600,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,
P216604,,8.0,8.0,,,,,8.0,,8.0,,
P216635,,,,,,,,,,15.0,,
P217301,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,,
P217303,6.0,6.0,6.0,,,,,,,,6.0,6.0
P217304,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P217305,9.0,,,,,,,,9.0,,,
P217306,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,
P217311,6.25,6.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
P217615,15.0,15.0,,,,,,,,,,
P217616,13.0,13.0,13.0,,,,,,,,,
P218707,12.0,12.0,,,,,,,,,,
P218910,,,10.0,10.0,10.0,10.0,19.0,18.0,19.0,19.0,,
P219001,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P219007,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
